#####################################################################
# Alchemist log file - simulation started at: 2026-06-18T09:19+0000 #
#####################################################################
#
# update-frequency = 0.0166666667, 5g-probability = 0, payload-size = 3, seed = 3.0
#
# The columns have the following meaning: 
# time B1_DR[mean] DIST_MR[mean] DR_MR[mean] CSC[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 NaN 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.0 NaN NaN NaN 0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60.0165482235415 757 757 757 795 0.887 1.00 0.317 307224.2741551173 6.338727469934218E10 220438.61992288916 36.10551487716774 42317.561480739234 8.891698229890226 261.0 1.7769230769230733 1.0 8.14707033078491 243.0 307224.2741551173 6.338727469934218E10 220438.61992288916 766.2337662337658 1715299.88449729 0.0 86538.05418252457 3.919518164749703E10 0.0 95701.5081008208 3.844557608104361E10 0.0 0.006432094087840107 5.220315139925173E-4 0.0
120.01654822354149 1.39e+03 1.39e+03 1.32e+03 1.44e+03 0.823 1.00 0.380 386418.9762567732 7.247401378779373E10 350540.8755648896 17.251491173163 2203.807880172537 8.7864826970433 214.0 2.1690140845070442 1.0 14.755861562053322 199.0 386418.9762567732 7.247401378779373E10 350540.8755648896 1402.597402597405 2245372.8484097314 0.0 171727.6564462317 7.022823811520583E10 8.856095646163777 173094.18493631968 7.044901980452472E10 0.0 0.009458674682934837 5.776044318156338E-4 0.0012883830983708424
180.0165482235415 1.39e+03 1.39e+03 1.30e+03 1.44e+03 0.803 1.00 0.398 384782.49421186553 7.299630385009924E10 349779.6809771925 14.64120688480585 216.56459357187526 8.76434398515207 207.0 2.242718446601942 1.0 15.040086935022194 193.0 384782.49421186553 7.299630385009924E10 349779.6809771925 1402.597402597405 2245372.8484097314 0.0 172636.95039650603 6.945764759176648E10 4326.701350903553 172963.2916184753 7.048866355988808E10 8.89297949392622 0.01095045428767168 8.039195562480501E-4 0.0013375428048031414
240.0165482235415 1.39e+03 1.39e+03 1.30e+03 1.44e+03 0.806 1.00 0.396 387500.7190213444 7.295265563768169E10 367238.66642416705 15.470514269477865 224.2236943796226 8.780645251066213 207.0 2.242718446601942 1.0 15.041708529978573 194.0 387500.7190213444 7.295265563768169E10 367238.66642416705 1402.597402597405 2245372.8484097314 0.0 175168.0837256511 6.966971937600586E10 8973.875231062691 173138.3775254484 7.0654223069697E10 9.174200236007962 0.010420213233883249 6.702064604344386E-4 0.0013256617714848956
300.01654822354146 1.39e+03 1.39e+03 1.30e+03 1.44e+03 0.794 1.00 0.404 383563.8437237984 7.215934583327303E10 362216.24433091556 16.007437686407243 238.2261021222729 8.789133984987119 205.0 2.264705882352947 1.0 15.114620508469187 190.0 383563.8437237984 7.215934583327303E10 362216.24433091556 1402.597402597405 2245372.8484097314 0.0 175740.38387021056 6.943958817573357E10 9337.54611145329 173290.16758089405 7.073864132979443E10 8.983976981782373 0.010652802156366603 6.815097172142316E-4 0.0013420652178445479
360.01654822354146 1.39e+03 1.39e+03 1.31e+03 1.44e+03 0.794 1.00 0.404 385219.37798038503 7.187900559904936E10 372548.22138547065 15.614352831000566 227.30045642288732 8.79245431751777 205.0 2.264705882352947 1.0 15.114620508469187 190.0 385219.37798038503 7.187900559904936E10 372548.22138547065 1402.597402597405 2245372.8484097314 0.0 176448.7670788661 6.965894640447931E10 8885.425579148718 173591.17707748813 7.082657393488307E10 9.174200857892936 0.010566594403914055 6.774933673026775E-4 0.001343297360518317
420.01654822354146 1.39e+03 1.39e+03 1.29e+03 1.42e+03 0.806 1.00 0.396 385440.2804188826 7.168979322580289E10 370267.3973847324 15.617688031572929 235.6090996968972 8.802882662699 207.0 2.242718446601942 1.0 15.041708529978573 194.0 385440.2804188826 7.168979322580289E10 370267.3973847324 1402.597402597405 2245372.8484097314 0.0 177175.57586676857 6.984478010225421E10 8459.293573419762 173984.2183673518 7.105749417475209E10 8.775735218048311 0.01053458711882377 6.771826605044988E-4 0.0013263238026044765
480.01654822354146 1.39e+03 1.39e+03 1.29e+03 1.42e+03 0.806 1.00 0.396 384012.12928857823 7.128089029846666E10 367331.8505073349 16.441630462538754 248.0132653900405 8.835740201741688 207.0 2.242718446601942 1.0 15.041708529978573 194.0 384012.12928857823 7.128089029846666E10 367331.8505073349 1402.597402597405 2245372.8484097314 0.0 177297.462418891 6.998987742409398E10 9324.185730404934 174986.30198810835 7.102056465461E10 860.7095143372402 0.010454417918689327 6.624678719250206E-4 0.0013262228799375102
